PID,Lot Area,Neighborhood,Bldg Type,Overall Qual,Overall Cond,Exterior 1st,Foundation,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom,Misc Feature,Misc Val,Mo Sold,SalePrice
526301100,31770.0,NAmes,1Fam,6.0,5,BrkFace,CBlock,1656,0,0,1656.0,1.0,0.0,1,0.0,3,,0,5.0,215000.0
526350040,11622.0,NAmes,1Fam,5.0,6,VinylSd,CBlock,896,0,0,896.0,0.0,0.0,1,0.0,2,,0,6.0,105000.0
526351010,14267.0,NAmes,1Fam,6.0,6,Wd Sdng,CBlock,1329,0,0,,0.0,0.0,1,1.0,3,Gar2,12500,6.0,172000.0
526353030,11160.0,NAmes,1Fam,7.0,5,BrkFace,CBlock,2110,0,0,2110.0,1.0,0.0,2,1.0,3,,0,4.0,244000.0
527105010,13830.0,Gilbert,1Fam,5.0,5,VinylSd,PConc,928,701,0,1629.0,0.0,0.0,2,1.0,3,,0,3.0,189900.0
527105030,9978.0,Gilbert,1Fam,6.0,6,VinylSd,PConc,926,678,0,,0.0,0.0,2,1.0,3,,0,6.0,195500.0
527127150,4920.0,StoneBr,TwnhsE,8.0,5,CemntBd,PConc,1338,0,0,1338.0,1.0,0.0,2,0.0,2,,0,4.0,213500.0
527145080,5005.0,StoneBr,TwnhsE,8.0,5,HdBoard,PConc,1280,0,0,1280.0,0.0,0.0,2,0.0,2,,0,1.0,191500.0
527146030,5389.0,StoneBr,TwnhsE,8.0,5,CemntBd,PConc,1616,0,0,1616.0,1.0,0.0,2,0.0,2,,0,3.0,236500.0
527162130,7500.0,Gilbert,1Fam,7.0,5,VinylSd,PConc,1028,776,0,,0.0,0.0,2,1.0,3,,0,6.0,189000.0
527163010,10000.0,Gilbert,1Fam,6.0,5,HdBoard,PConc,763,892,0,1655.0,0.0,0.0,2,1.0,3,,0,4.0,175900.0
527165230,7980.0,Gilbert,1Fam,6.0,7,HdBoard,PConc,1187,0,0,1187.0,1.0,0.0,2,0.0,3,Shed,500,3.0,185000.0
527166040,8402.0,Gilbert,1Fam,6.0,5,VinylSd,PConc,789,676,0,1465.0,0.0,0.0,2,1.0,3,,0,5.0,180400.0
527180040,10176.0,Gilbert,1Fam,7.0,5,HdBoard,PConc,1341,0,0,1341.0,1.0,0.0,1,1.0,2,,0,2.0,171500.0
527182190,6820.0,StoneBr,TwnhsE,8.0,5,HdBoard,PConc,1502,0,0,1502.0,1.0,0.0,1,1.0,1,,0,6.0,212000.0
527216070,,StoneBr,1Fam,8.0,5,CemntBd,PConc,1690,1589,0,3279.0,1.0,0.0,3,1.0,4,,0,6.0,538000.0
527225035,12134.0,Gilbert,1Fam,8.0,7,Wd Sdng,Wood,1080,672,0,1752.0,0.0,0.0,2,0.0,4,,0,6.0,164000.0
527258010,11394.0,StoneBr,1Fam,9.0,2,VinylSd,PConc,1856,0,0,1856.0,1.0,0.0,1,1.0,1,,0,6.0,394432.0
527276150,19138.0,Gilbert,1Fam,4.0,5,VinylSd,CBlock,864,0,0,864.0,0.0,0.0,1,0.0,2,,0,6.0,141000.0
527302110,13175.0,NWAmes,1Fam,6.0,6,Plywood,CBlock,2073,0,0,2073.0,1.0,0.0,2,0.0,3,,0,2.0,210000.0
527358140,11751.0,NWAmes,1Fam,6.0,6,Plywood,CBlock,1844,0,0,,0.0,0.0,2,0.0,3,,0,1.0,190000.0
